YEAR;MO;DY;HR;WS50M;DATE
2024;1;8;23;3.7;08/01/2024
2024;1;9;0;4.3;09/01/2024
2024;1;9;1;4.94;09/01/2024
2024;1;9;2;5.34;09/01/2024
2024;1;9;3;5.5;09/01/2024
2024;1;9;4;5.49;09/01/2024
2024;1;9;5;5.33;09/01/2024
2024;1;9;6;4.98;09/01/2024
2024;1;9;7;4.63;09/01/2024
2024;1;9;8;4.26;09/01/2024
2024;1;9;9;3.91;09/01/2024
2024;1;9;10;3.71;09/01/2024
2024;1;9;11;3.58;09/01/2024
2024;1;9;12;3.65;09/01/2024
2024;1;9;13;3.72;09/01/2024
2024;1;9;14;3.62;09/01/2024
2024;1;9;15;3.26;09/01/2024
2024;1;9;16;2.87;09/01/2024
2024;1;9;17;2.6;09/01/2024
2024;1;9;18;2.49;09/01/2024
2024;1;9;19;2.48;09/01/2024
2024;1;9;20;2.43;09/01/2024
2024;1;9;21;2.39;09/01/2024
2024;1;9;22;2.42;09/01/2024
2024;1;9;23;2.6;09/01/2024
2024;1;10;0;2.84;10/01/2024
2024;1;10;1;3.08;10/01/2024
2024;1;10;2;3.2;10/01/2024
2024;1;10;3;3.2;10/01/2024
2024;1;10;4;3.03;10/01/2024
2024;1;10;5;2.75;10/01/2024
2024;1;10;6;2.59;10/01/2024
2024;1;10;7;2.63;10/01/2024
2024;1;10;8;2.61;10/01/2024
2024;1;10;9;2.64;10/01/2024
2024;1;10;10;2.86;10/01/2024
2024;1;10;11;3.33;10/01/2024
2024;1;10;12;3.93;10/01/2024
2024;1;10;13;4.45;10/01/2024
2024;1;10;14;4.77;10/01/2024
2024;1;10;15;4.97;10/01/2024
2024;1;10;16;4.88;10/01/2024
2024;1;10;17;4.66;10/01/2024
2024;1;10;18;4.69;10/01/2024
2024;1;10;19;4.53;10/01/2024
2024;1;10;20;4.38;10/01/2024
2024;1;10;21;4.36;10/01/2024
2024;1;10;22;4.41;10/01/2024
2024;1;10;23;4.59;10/01/2024
2024;1;11;0;4.75;11/01/2024
2024;1;11;1;4.7;11/01/2024
2024;1;11;2;4.85;11/01/2024
2024;1;11;3;5.05;11/01/2024
2024;1;11;4;4.54;11/01/2024
2024;1;11;5;3.99;11/01/2024
2024;1;11;6;3.61;11/01/2024
2024;1;11;7;3.46;11/01/2024
2024;1;11;8;3.5;11/01/2024
2024;1;11;9;3.7;11/01/2024
2024;1;11;10;4.32;11/01/2024
2024;1;11;11;4.9;11/01/2024
2024;1;11;12;5.2;11/01/2024
2024;1;11;13;5.32;11/01/2024
2024;1;11;14;5.35;11/01/2024
2024;1;11;15;5.28;11/01/2024
2024;1;11;16;5.01;11/01/2024
2024;1;11;17;4.7;11/01/2024
2024;1;11;18;4.6;11/01/2024
2024;1;11;19;4.51;11/01/2024
2024;1;11;20;4.4;11/01/2024
2024;1;11;21;4.15;11/01/2024
2024;1;11;22;3.8;11/01/2024
2024;1;11;23;3.3;11/01/2024
2024;1;12;0;3.18;12/01/2024
2024;1;12;1;3.74;12/01/2024
2024;1;12;2;4.14;12/01/2024
2024;1;12;3;4.02;12/01/2024
2024;1;12;4;3.64;12/01/2024
2024;1;12;5;3.18;12/01/2024
2024;1;12;6;2.74;12/01/2024
2024;1;12;7;3.1;12/01/2024
2024;1;12;8;3.6;12/01/2024
2024;1;12;9;4.09;12/01/2024
2024;1;12;10;4.93;12/01/2024
2024;1;12;11;5.95;12/01/2024
2024;1;12;12;6.79;12/01/2024
2024;1;12;13;7.33;12/01/2024
2024;1;12;14;7.51;12/01/2024
2024;1;12;15;7.35;12/01/2024
2024;1;12;16;7.08;12/01/2024
2024;1;12;17;6.77;12/01/2024
2024;1;12;18;6.5;12/01/2024
2024;1;12;19;6.3;12/01/2024
2024;1;12;20;6.05;12/01/2024
2024;1;12;21;5.83;12/01/2024
2024;1;12;22;5.62;12/01/2024
2024;1;12;23;5.61;12/01/2024
2024;1;13;0;5.5;13/01/2024
2024;1;13;1;5.43;13/01/2024
2024;1;13;2;5.33;13/01/2024
2024;1;13;3;5.2;13/01/2024
2024;1;13;4;5.06;13/01/2024
2024;1;13;5;4.65;13/01/2024
2024;1;13;6;4.15;13/01/2024
2024;1;13;7;3.87;13/01/2024
2024;1;13;8;3.7;13/01/2024
2024;1;13;9;3.56;13/01/2024
2024;1;13;10;3.58;13/01/2024
2024;1;13;11;3.87;13/01/2024
2024;1;13;12;4.3;13/01/2024
2024;1;13;13;4.72;13/01/2024
2024;1;13;14;5.09;13/01/2024
2024;1;13;15;5.34;13/01/2024
2024;1;13;16;5.28;13/01/2024
2024;1;13;17;4.96;13/01/2024
2024;1;13;18;4.64;13/01/2024
2024;1;13;19;4.43;13/01/2024
2024;1;13;20;4.34;13/01/2024
2024;1;13;21;4.14;13/01/2024
2024;1;13;22;3.93;13/01/2024
2024;1;13;23;3.87;13/01/2024
2024;1;14;0;3.95;14/01/2024
2024;1;14;1;3.92;14/01/2024
2024;1;14;2;3.92;14/01/2024
2024;1;14;3;4.06;14/01/2024
2024;1;14;4;4.47;14/01/2024
2024;1;14;5;4.81;14/01/2024
2024;1;14;6;4.95;14/01/2024
2024;1;14;7;5.27;14/01/2024
2024;1;14;8;5.47;14/01/2024
2024;1;14;9;5.51;14/01/2024
2024;1;14;10;5.8;14/01/2024
2024;1;14;11;6.2;14/01/2024
2024;1;14;12;6.61;14/01/2024
2024;1;14;13;6.98;14/01/2024
2024;1;14;14;7.29;14/01/2024
2024;1;14;15;7.38;14/01/2024
2024;1;14;16;7.23;14/01/2024
2024;1;14;17;7.1;14/01/2024
2024;1;14;18;6.9;14/01/2024
2024;1;14;19;6.62;14/01/2024
2024;1;14;20;6.43;14/01/2024
2024;1;14;21;6.37;14/01/2024
2024;1;14;22;6.36;14/01/2024
2024;1;14;23;6.22;14/01/2024
